category	rank	environment	method	n	tool	database
Misassignment	Family	Marine	blast.1.90	3	Blast	Database 6
Misassignment	Family	Marine	blast.1.95	3	Blast	Database 6
Misassignment	Family	Marine	blast.1.99	3	Blast	Database 6
Misassignment	Family	Marine	blast.10.95	3	Blast	Database 6
Misassignment	Family	Marine	blast.3.90	8	Blast	Database 6
Misassignment	Family	Marine	naive.70	5	Naive Bayes	Database 6
Misassignment	Family	Marine	naive.80	5	Naive Bayes	Database 6
Misassignment	Family	Marine	naive.90	5	Naive Bayes	Database 6
Misassignment	Family	Terrestrial	blast.1.90	2	Blast	Database 6
Misassignment	Family	Terrestrial	blast.1.95	2	Blast	Database 6
Misassignment	Family	Terrestrial	blast.1.99	2	Blast	Database 6
Misassignment	Family	Terrestrial	blast.10.95	3	Blast	Database 6
Misassignment	Family	Terrestrial	blast.3.90	5	Blast	Database 6
Misassignment	Family	Terrestrial	naive.70	1	Naive Bayes	Database 6
Misassignment	Family	Terrestrial	naive.80	0	Naive Bayes	Database 6
Misassignment	Family	Terrestrial	naive.90	0	Naive Bayes	Database 6
Misassignment	Genus	Marine	blast.1.90	22	Blast	Database 6
Misassignment	Genus	Marine	blast.1.95	22	Blast	Database 6
Misassignment	Genus	Marine	blast.1.99	22	Blast	Database 6
Misassignment	Genus	Marine	blast.10.95	13	Blast	Database 6
Misassignment	Genus	Marine	blast.3.90	34	Blast	Database 6
Misassignment	Genus	Marine	naive.70	23	Naive Bayes	Database 6
Misassignment	Genus	Marine	naive.80	21	Naive Bayes	Database 6
Misassignment	Genus	Marine	naive.90	15	Naive Bayes	Database 6
Misassignment	Genus	Terrestrial	blast.1.90	5	Blast	Database 6
Misassignment	Genus	Terrestrial	blast.1.95	5	Blast	Database 6
Misassignment	Genus	Terrestrial	blast.1.99	5	Blast	Database 6
Misassignment	Genus	Terrestrial	blast.10.95	13	Blast	Database 6
Misassignment	Genus	Terrestrial	blast.3.90	12	Blast	Database 6
Misassignment	Genus	Terrestrial	naive.70	3	Naive Bayes	Database 6
Misassignment	Genus	Terrestrial	naive.80	3	Naive Bayes	Database 6
Misassignment	Genus	Terrestrial	naive.90	3	Naive Bayes	Database 6
Misassignment	Order	Marine	blast.1.90	4	Blast	Database 6
Misassignment	Order	Marine	blast.1.95	4	Blast	Database 6
Misassignment	Order	Marine	blast.1.99	4	Blast	Database 6
Misassignment	Order	Marine	blast.10.95	1	Blast	Database 6
Misassignment	Order	Marine	blast.3.90	4	Blast	Database 6
Misassignment	Order	Marine	naive.70	6	Naive Bayes	Database 6
Misassignment	Order	Marine	naive.80	6	Naive Bayes	Database 6
Misassignment	Order	Marine	naive.90	6	Naive Bayes	Database 6
Misassignment	Order	Terrestrial	blast.1.90	0	Blast	Database 6
Misassignment	Order	Terrestrial	blast.1.95	0	Blast	Database 6
Misassignment	Order	Terrestrial	blast.1.99	0	Blast	Database 6
Misassignment	Order	Terrestrial	blast.10.95	0	Blast	Database 6
