database	habitat	parameter	tp	fp	fn	accuracy	precision	taxonomy_level	tp	fp	fn	acc	precision
Database 1	Marine	blast.1.90	164	16	41	74.21	91.11	family	74.21%	7.24%	18.55%	74.21%	91.11%
Database 1	Marine	blast.1.95	130	6	85	58.82	95.59	family	58.82%	2.71%	38.46%	58.82%	95.59%
Database 1	Marine	blast.1.99	34	1	186	15.38	97.14	family	15.38%	0.45%	84.16%	15.38%	97.14%
Database 1	Marine	blast.10.95	25	2	194	11.31	92.59	family	11.31%	0.9%	87.78%	11.31%	92.59%
Database 1	Marine	blast.3.90	22	7	192	9.95	75.86	family	9.95%	3.17%	86.88%	9.95%	75.86%
Database 1	Marine	naive.70	70	5	146	31.67	93.33	family	31.67%	2.26%	66.06%	31.67%	93.33%
Database 1	Marine	naive.80	48	3	170	21.72	94.12	family	21.72%	1.36%	76.92%	21.72%	94.12%
Database 1	Marine	naive.90	28	2	191	12.67	93.33	family	12.67%	0.9%	86.43%	12.67%	93.33%
Database 2	Marine	blast.1.90	134	14	73	60.63	90.54	family	60.63%	6.33%	33.03%	60.63%	90.54%
Database 2	Marine	blast.1.95	94	10	117	42.53	90.38	family	42.53%	4.52%	52.94%	42.53%	90.38%
Database 2	Marine	blast.1.99	14	1	206	6.33	93.33	family	6.33%	0.45%	93.21%	6.33%	93.33%
Database 2	Marine	blast.10.95	30	3	188	13.57	90.91	family	13.57%	1.36%	85.07%	13.57%	90.91%
Database 2	Marine	blast.3.90	37	8	176	16.74	82.22	family	16.74%	3.62%	79.64%	16.74%	82.22%
Database 2	Marine	naive.70	107	6	108	48.42	94.69	family	48.42%	2.71%	48.87%	48.42%	94.69%
Database 2	Marine	naive.80	91	6	124	41.18	93.81	family	41.18%	2.71%	56.11%	41.18%	93.81%
Database 2	Marine	naive.90	70	4	147	31.67	94.59	family	31.67%	1.81%	66.52%	31.67%	94.59%
Database 3	Marine	blast.1.90	132	16	73	59.73	89.19	family	59.73%	7.24%	33.03%	59.73%	89.19%
Database 3	Marine	blast.1.95	96	8	117	43.44	92.31	family	43.44%	3.62%	52.94%	43.44%	92.31%
Database 3	Marine	blast.1.99	12	3	206	5.43	80	family	5.43%	1.36%	93.21%	5.43%	80%
Database 3	Marine	blast.10.95	146	6	69	66.06	96.05	family	66.06%	2.71%	31.22%	66.06%	96.05%
Database 3	Marine	blast.3.90	155	15	51	70.14	91.18	family	70.14%	6.79%	23.08%	70.14%	91.18%
Database 3	Marine	naive.70	175	8	38	79.19	95.63	family	79.19%	3.62%	17.19%	79.19%	95.63%
Database 3	Marine	naive.80	162	8	51	73.3	95.29	family	73.3%	3.62%	23.08%	73.3%	95.29%
Database 3	Marine	naive.90	148	7	66	66.97	95.48	family	66.97%	3.17%	29.86%	66.97%	95.48%
Database 4	Marine	blast.1.90	190	13	18	85.97	93.6	family	85.97%	5.88%	8.14%	85.97%	93.6%
Database 4	Marine	blast.1.95	154	9	58	69.68	94.48	family	69.68%	4.07%	26.24%	69.68%	94.48%
Database 4	Marine	blast.1.99	43	3	175	19.46	93.48	family	19.46%	1.36%	79.19%	19.46%	93.48%
Database 4	Marine	blast.10.95	168	9	44	76.02	94.92	family	76.02%	4.07%	19.91%	76.02%	94.92%
Database 4	Marine	blast.3.90	204	11	6	92.31	94.88	family	92.31%	4.98%	2.71%	92.31%	94.88%
Database 4	Marine	naive.70	191	14	16	86.43	93.17	family	86.43%	6.33%	7.24%	86.43%	93.17%
Database 4	Marine	naive.80	189	12	20	85.52	94.03	family	85.52%	5.43%	9.05%	85.52%	94.03%
Database 4	Marine	naive.90	187	11	23	84.62	94.44	family	84.62%	4.98%	10.41%	84.62%	94.44%
Database 5	Marine	blast.1.90	190	13	18	85.97	93.6	family	85.97%	5.88%	8.14%	85.97%	93.6%
Database 5	Marine	blast.1.95	154	9	58	69.68	94.48	family	69.68%	4.07%	26.24%	69.68%	94.48%
Database 5	Marine	blast.1.99	43	3	175	19.46	93.48	family	19.46%	1.36%	79.19%	19.46%	93.48%
Database 5	Marine	blast.10.95	168	9	44	76.02	94.92	family	76.02%	4.07%	19.91%	76.02%	94.92%
Database 5	Marine	blast.3.90	204	11	6	92.31	94.88	family	92.31%	4.98%	2.71%	92.31%	94.88%
Database 5	Marine	naive.70	192	11	18	86.88	94.58	family	86.88%	4.98%	8.14%	86.88%	94.58%
Database 5	Marine	naive.80	189	11	21	85.52	94.5	family	85.52%	4.98%	9.5%	85.52%	94.5%
Database 5	Marine	naive.90	188	10	23	85.07	94.95	family	85.07%	4.52%	10.41%	85.07%	94.95%
Database 1	Terrestrial	blast.1.90	69	11	37	58.97	86.25	family	58.97%	9.4%	31.62%	58.97%	86.25%
Database 1	Terrestrial	blast.1.95	65	11	41	55.56	85.53	family	55.56%	9.4%	35.04%	55.56%	85.53%
Database 1	Terrestrial	blast.1.99	41	5	71	35.04	89.13	family	35.04%	4.27%	60.68%	35.04%	89.13%
Database 1	Terrestrial	blast.10.95	14	1	102	11.97	93.33	family	11.97%	0.85%	87.18%	11.97%	93.33%
Database 1	Terrestrial	blast.3.90	36	4	77	30.77	90	family	30.77%	3.42%	65.81%	30.77%	90%
Database 1	Terrestrial	naive.70	19	0	98	16.24	100	family	16.24%	0%	83.76%	16.24%	100%
Database 1	Terrestrial	naive.80	14	0	103	11.97	100	family	11.97%	0%	88.03%	11.97%	100%
Database 1	Terrestrial	naive.90	13	0	104	11.11	100	family	11.11%	0%	88.89%	11.11%	100%
Database 2	Terrestrial	blast.1.90	82	11	24	70.09	88.17	family	70.09%	9.4%	20.51%	70.09%	88.17%
Database 2	Terrestrial	blast.1.95	78	10	29	66.67	88.64	family	66.67%	8.55%	24.79%	66.67%	88.64%
Database 2	Terrestrial	blast.1.99	49	4	64	41.88	92.45	family	41.88%	3.42%	54.7%	41.88%	92.45%
Database 2	Terrestrial	blast.10.95	2	1	114	1.71	66.67	family	1.71%	0.85%	97.44%	1.71%	66.67%
Database 2	Terrestrial	blast.3.90	10	0	107	8.55	100	family	8.55%	0%	91.45%	8.55%	100%
Database 2	Terrestrial	naive.70	19	0	98	16.24	100	family	16.24%	0%	83.76%	16.24%	100%
Database 2	Terrestrial	naive.80	13	1	103	11.11	92.86	family	11.11%	0.85%	88.03%	11.11%	92.86%
